作品名,映画ID,年,公開日,興収(億円),区分,配給会社,あらすじ,監督,脚本,キャスト,脚本家,プロデューサー,コピーライト,,,
仮面ライダー×仮面ライダー×仮面ライダー 超・電王トリロジー,55377,2010,2010/5/22,13.1,邦画,東映,「劇場版　超・仮面ライダー電王＆ディケイド　NEOジェネレーションズ　鬼ヶ島の戦艦」の続編第1弾。「EPISODE RED　ゼロのスタートウィンクル」「EPISODE BLUE派遣イマジンはNEWトラル」「EPISODE YELLOW お宝 DE エンド・パイレーツ」の3連作を、2週間ごとに連続上映する。新幹線型の時の列車“デンライナー”がコントロール不能となり、良太郎のもとにモモタロスから救助要請が届く。一方、侑斗の指示で、良太郎の姉・愛理には暴漢の魔の手が迫る。,金田治,石ノ森章太郎,"中村優一, 松本若菜, 中泉英雄, 秋山莉奈, 溝口琢矢, 松元環季, 永田彬, 上野亮, 石丸謙二郎",小林靖子,,「超・電王トリロジー」製作委員会　(C)石森プロ・テレビ朝日・ADK・東映,,1,1
TRICK 霊能力者バトルロイヤル,55092,2010,2010/5/8,18.6,邦画,東宝,深夜ドラマとして放送され人気を博した「TRICK」シリーズ10周年記念となる劇場版第3弾。主演は仲間由紀恵と阿部寛、監督にドラマ版や劇場版前2作を手がけた堤幸彦。絶大な力を持つ霊能力者・カミハエーリが治める村で、そのカミハエーリが他界する。村には100日以内に次代カミハエーリを決めなければ災いが訪れるという言い伝えがあり、村人たちは後継者を選出するためにバトルロイヤルを開催する。非現実的な風習を廃止しようと考える天才物理学者・上田と、賞金狙いの自称奇術師・奈緒子はバトルロイヤルに参戦するが……。,堤幸彦,,"仲間由紀恵, 阿部寛, 生瀬勝久, 野際陽子, 松平健, 佐藤健, 夏帆, 片瀬那奈, 戸田恵子, 平泉成, 藤木直人",蒔田光治,船津浩一,(C)2010「劇場版TRICK 霊能力者バトルロイヤル」製作委員会,,1,1
劇場版 銀魂 新訳紅桜篇,55067,2010,2010/4/24,10.7,邦画,WB,2003年に「週刊少年ジャンプ」で連載開始された、空知英秋によるギャグ漫画を映画化。架空の江戸時代末期、黒船の代わりに襲来しした異星人・天人（あまんと）が、地球人と数十年にわたる攘夷戦争を繰り広げた結果、江戸の町には天人の文明が定着する。天人の出した廃刀令によって刀を失った銀髪の侍・坂田銀時は、何でも屋「万事屋銀ちゃん」を営み、町で起こるさまざまなトラブルを解決していく。,高松信司,空知英秋,"杉田智和, 阪口大助, 釘宮理恵, 石田彰, 子安武人, 千葉進歩, 中井和哉, 鈴村健一, 日野聡, 山寺宏一",大和屋暁,,(C)空知英秋／劇場版銀魂製作委員会,,1,1
タイタンの戦い,54532,2010,2010/4/23,15.8,洋画,WB,「アバター」のサム・ワーシントンが主演する、ギリシャ神話に登場する神々の壮絶な戦いを描いた3Dアクション。監督は「トランスポーター」シリーズを手がけるルイ・レテリエ。神と人が共存していた時代、神々は己の欲望を満たすため、激しい権力争いに明け暮れていた。ある日、そんな神々に対し人間の王が反乱を起こす。人間の創造主でもある神々の王ゼウスはこれに激怒し、人類を滅ぼそうと冥界の王ハデスを解き放つが、人間の心を持つ神ペルセウスが人類救出のため立ち上がる。,ルイ・レテリエ,"フィル・ヘイ, マット・マンフレディ","サム・ワーシントン, リーアム・ニーソン, レイフ・ファインズ, ジェマ・アータートン, マッツ・ミケルセン, ジェイソン・フレミング, アレクサ・ダバロス, リーアム・カニンガム, ハンス・マシソン, ニコラス・ホルト, ピート・ポスルスウェイト",トラビス・ビーチャム,,(C) 2010 WARNER BROS ENTERTAINMENT INC AND LEGENDARY PICTURES,,1,1
アリス・イン・ワンダーランド,53230,2010,2010/4/17,118,洋画,WDS,"「チャーリーとチョコレート工場」「スウィーニー・トッド　フリート街の悪魔の理髪師」のティム・バートン監督が、ルイス・キャロルの名作児童文学「不思議の国のアリス」と「鏡の国のアリス」の主人公アリスのその後を描いたファンタジーアドベンチャー。

19歳に成長したアリスは、幼い日に地下世界を冒険したことを忘れていた。そんなある日、母親に連れていかれたパーティで洋服を着た白ウサギを目撃し、その後を追いかけて再び地下世界へとたどり着く。そこに広がる不思議な国（ワンダーランド）は、独善的な赤の女王に支配されていた。アリスは白ウサギや地下世界の住人たちとの出会いを通して、自身が「予言の書」に記された、暗黒時代を終わらせる戦士だということを知る。一方、「予言の書」に記されたアリスが現れたことを知った赤の女王は、アリスを捕らえようとするが……。

アリス役はハリウッド大作の主演はこれが初めてとなった新星ミア・ワシコウスカ。共演にバートン監督作常連のジョニー・デップほか、アン・ハサウェイ、ヘレナ・ボナム・カーターら。",ティム・バートン,ルイス・キャロル,"ジョニー・デップ, ミア・ワシコウスカ, ヘレナ・ボナム・カーター, アン・ハサウェイ, クリスピン・グローバー, マット・ルーカス, フランシス・デ・ラ・トゥーア, リンゼイ・ダンカン, ジェラルディン・ジェームズ, ティム・ピゴット＝スミス, マートン・ソーカス, アラン・リックマン, スティーブン・フライ, マイケル・シーン, ティモシー・スポール, バーバラ・ウィンザー, クリストファー・リー, マイケル・ガフ, ジム・カーター, イメルダ・スタウントン, ポール・ホワイトハウス",リンダ・ウールバートン,,"(C)Disney Enterprises, Inc. All rights reserved.",,1,1
のだめカンタービレ 最終楽章 後編,54303,2010,2010/4/17,37.2,邦画,東宝,二ノ宮知子の人気コミックをTVドラマ化した「のだめカンタービレ」の劇場版2部作の後編。千秋と離れ離れに暮らすことになったのだめは、訪れたあるコンクールで「ラヴェル　ピアノ協奏曲」に心を奪われ、いつか千秋の指揮で演奏することを夢見る。しかし、千秋はその曲でピアニストのRuiと共演することに決まり、のだめにも他の指揮者との共演話が持ちかけられる。,武内英樹,二ノ宮知子,"上野樹里, 玉木宏, 瑛太, 水川あさみ, 小出恵介, ウエンツ瑛士, ベッキー, 山田優, なだぎ武, 福士誠治, 吉瀬美智子, 伊武雅刀, 竹中直人",衛藤凛,前田久閑,(C)2010フジテレビ・講談社・アミューズ・東宝・FNS27社,,1,1
名探偵コナン 天空の難破船,55166,2010,2010/4/17,32,邦画,東宝,青山剛昌による人気コミックシリーズの劇場版14作目。大富豪・鈴木次郎吉は、世界中の宝石を狙う怪盗キッドに向け、「世界最大の飛行船ベルツリー号に収めた宝石・天空の貴婦人を盗んでみよ」という挑戦状を叩きつける。キッドから宝石を守るため、コナン一行も飛行船に招待されるが、突然謎のテロリスト「赤いシャムネコ」が飛行船を襲う。,山本泰一郎,青山剛昌,"高山みなみ, 小山力也, 山崎和佳奈, 山口勝平, 岩居由希子, 高木渉, 大谷育江, 林原めぐみ, 緒方賢一, 松井菜桜子, 堀川りょう, 宮村優子, 山口勝平, 永井一郎, 高木渉, 石塚運昇, 優木まおみ, 大橋のぞみ, 大友龍三郎, 中田浩二, 大矢兼臣, 小山武宏, 小川真司, 茶風林, 井上和彦, 湯屋敦子, 高木渉, 千葉一伸",古内一成,諏訪道彦,(C)2010青山剛昌／「名探偵コナン」製作委員会,,1,1
映画クレヨンしんちゃん 超時空！嵐を呼ぶオラの花嫁,55128,2010,2010/4/17,12.5,邦画,東宝,劇場版「クレヨンしんちゃん」シリーズの第18弾。ある日、未来都市・ネオトキオからタイムマシンに乗ってしんのすけの未来の花嫁タミコがやって来る。タミコいわく、未来のしんのすけはタミコの実の父親でネオトキオの支配者の金有増蔵により、どこかへ連れ去られてしまうらしい。未来のしんのすけを助けるため、タミコとしんのすけはネオトキオへと向かうが……。,しぎのあきら,臼井儀人,"矢島晶子, ならはしみき, 藤原啓治, こおろぎさとみ, 真柴摩利, 林玉緒, 一龍斎貞友, 真柴摩利, 佐藤智恵, 玄田哲章, 茶風林, 釘宮理恵, 内海賢二, 黒沢かずこ, 椿鬼奴, 近藤春菜, いとうあさこ, はるな愛, 白石涼子, 神田朱未",横手美智子,吉田有希,(C)臼井儀人／双葉社・シンエイ・テレビ朝日・ADK　2010,,1,1
シャッター アイランド,53192,2010,2010/4/9,17,洋画,パラマウント,「ミスティック・リバー」のデニス・ルヘイン原作の同名小説をマーティン・スコセッシ監督＆レオナルド・ディカプリオ主演で映画化。1954年、失踪した女性患者の謎を探るためにボストン沖の孤島に建つ犯罪者用精神病院を訪れた米連邦保安官テディ・ダニエルズ（ディカプリオ）に次々と不可解な出来事が起こる。脚色は「アレキサンダー」「ナイト・ウォッチ／NOCHINOI DOZOR」のレータ・カログリディス。,マーティン・スコセッシ,デニス・ルヘイン,"レオナルド・ディカプリオ, マーク・ラファロ, ベン・キングズレー, ミシェル・ウィリアムズ, エミリー・モーティマー, パトリシア・クラークソン, マックス・フォン・シドー, ジャッキー・アール・ヘイリー, イライアス・コティーズ",レータ・カログリディス,,(C) 2009 by PARAMOUNT PICTURES. All Rights Reserved.,,1,1
映画プリキュアオールスターズDX2 希望の光☆レインボージュエルを守れ！,55163,2010,2010/3/20,11.5,邦画,東映,女の子たちに絶大な人気を誇る「プリキュア」シリーズの劇場版。中学2年生の花咲つぼみは、コフレとシプレを探して海上の遊園地・フェアリーパークへと向かう。そこでつぼみは無事にコフレとシプレを見つけるが、突然パーク内に怪しげな影が現れ、レインボージュエルを守るため17人のプリキュアたちが次々と登場する。,大塚隆史,,"水樹奈々, 水沢史絵, 沖佳苗, 喜多村英梨, 中川亜紀子, 小松由佳, 三瓶由布子, 竹内順子, 伊瀬茉莉也, 永野愛, 前田愛, 仙台エリ, 樹元オリエ, 榎本温子, 本名陽子, ゆかな, 田中理恵",村山功,,(C)2010 映画プリキュアオールスターズ2製作委員会,,1,1
シャーロック・ホームズ,54174,2010,2010/3/12,21.6,洋画,WB,アーサー・コナン・ドイルが生んだ名探偵シャーロック・ホームズのキャラクターにインスピレーションを受けたオリジナルストーリーを、「スナッチ」のガイ・リッチー監督が映画化。19世紀末のロンドン。ホームズ（ロバート・ダウニー・Jr.）と医師ワトソン（ジュード・ロウ）の2人は、怪しい黒魔術の儀式を行い、若い女性を次々と殺害するブラックウッド卿を逮捕する。だが、処刑されたはずのブラックウッドが蘇り、再び殺人事件が発生する……。,ガイ・リッチー,アーサー・コナン・ドイル,"ロバート・ダウニー・Jr., ジュード・ロウ, レイチェル・マクアダムス, マーク・ストロング, エディ・マーサン, ケリー・ライリー, ジェラルディン・ジェームズ",マイケル・ロバート・ジョンソン,,(C)2009 VILLAGE ROADSHOW FILMS (BVI) LIMITED,,1,1
ライアーゲーム ザ・ファイナルステージ,57270,2010,2010/3/6,23.6,邦画,東宝,甲斐谷忍の人気コミックが原作のTVドラマ「ライアーゲーム」（2007、09）と、その劇場版「ライアーゲーム　ザ・ファイナルステージ」（10）から、主演の松田翔太以外のキャストをほぼ一新。原作で人気のエピソード「イス取りゲーム」を映像化し、復讐に燃えるゲーム出資者たちが仕かけるゲームに挑む天才詐欺師・秋山深一の姿を描く。秋山とともにゲームに挑む新ヒロイン・篠宮ユウ役に多部未華子が扮し、人気子役の芦田愛菜がゲームを仕切る事務局員役で自身初の悪役に挑む。,松山博昭,甲斐谷忍,"松田翔太, 多部未華子, 芦田愛菜, 江角マキコ, 高橋ジョージ, 濱田マリ, 要潤, 春海四方, 斎藤陽子, 川村陽介, 新井浩文, 野波麻帆, 池田鉄洋, 竜星涼, 大野拓朗, 前田健, 鈴木一真, 小池栄子, 鈴木浩介, 渡辺いっけい, 船越英一郎",岡田道尚,立松嗣章,(C)2012 フジテレビジョン／集英社／東宝／FNS27社,,1,1
映画ドラえもん のび太の人魚大海戦,54762,2010,2010/3/6,31.6,邦画,東宝,30周年を迎えたシリーズ「映画ドラえもん」の30作品目。「のび太の新魔界大冒険」の真保裕一が脚本を担当。のび太とドラえもんがひみつ道具「架空水」で町を海の底にして遊んでいると、5000年前に地球へやってきた人魚族の王女・ソフィアが迷い込んでくる。のび太たちはソフィアと一緒に海の世界へ冒険に出かけるが、突然巨大ウツボに襲われ、しずかちゃんが何者かにさらわれてしまう。,楠葉宏三,藤子・F・不二雄,"水田わさび, 大原めぐみ, かかずゆみ, 木村昴, 関智一, 千秋, 田中理恵, 飯塚雅弓, 山野史人, ケンドーコバヤシ, 温水洋一, さかなクン, 真矢みき",真保裕一,,(C)藤子プロ／小学館／テレビ朝日／シンエイ／ADK　2010,,1,1
パーシー・ジャクソンとオリンポスの神々,57680,2010,2010/2/26,14.2,洋画,FOX,人間と海神ポセイドンの血を引く「半神半人（デミゴッド）」の少年パーシー・ジャクソンの活躍を描いたファンタジー「パーシー・ジャクソンとオリンポスの神々」（2010）の続編。封印された先代の神々の王クロノスの復活を阻止するため、パーシーは魔の海に隠された黄金の毛皮を探しに行くことに。そんなパーシーの前に、弟を名乗る目が一つだけのサイクロプスが現れ、ともにギリシャ神話の魔物たちがはびこる魔の大海原バミューダトライアングルへと乗り込んでいく。主演のローガン・ラーマンほか、共演のアレクサンドラ・ダダリオ、ブランドン・T・ジャクソンも再集結。監督は「グレッグのダメ日記」のトール・フロイデンタール。,トール・フロイデンタール,リック・リオーダン,"ローガン・ラーマン, アレクサンドラ・ダダリオ, ブランドン・T・ジャクソン, ジェイク・アベル, ダグラス・スミス, スタンリー・トゥッチ, レベン・ランビン, アンソニー・ヘッド",マーク・グッゲンハイム,,(C)2013 Twentieth Century Fox,,1,1
おとうと,79886,2010,2010/1/30,21,邦画,松竹,向井理と片桐はいりが姉弟役で映画初共演し、互いを大切に思いあう不器用な姉弟にそれぞれ訪れた幸せの行方を描いたハートウォーミングコメディ。早くに両親を亡くし、2人で暮らしている33歳の弟・小野寺進と40歳の姉・小野寺より子。引っ込み思案で奥手な進は、過去の失恋の痛手からいまだに抜け出せず、世話好きなより子はそんな弟にとやかく口を出しながらも、2人は程よい距離感を保ちながら暮らしていた。そんな小野寺家にある日、1通の手紙が誤って配達される。その手紙をきっかけに、進とより子それぞれの恋と人生が動き始めて……。アニメ「TIGER & BUNNY」や「映画　怪物くん」「ガチ☆ボーイ」などの脚本家としても知られる西田征史の脚本・演出で、2013年に上演された同名舞台を映画化。舞台版と同じく向井と片桐が主演、西田が自らメガホンをとり、映画監督デビューを果たした。,西田征史,西田征史,"向井理, 片桐はいり, 山本美月, 及川光博, ムロツヨシ, 寿美菜子, 麻生久美子, 大森南朋, 木場勝巳, モロ師岡, 梅沢昌代, 村松利史, 秋本奈緒美, 橋本じゅん",西田征史,,(C)2014「小野寺の弟・小野寺の姉」製作委員会,,1,1
ゴールデンスランバー,54556,2010,2010/1/30,11.5,邦画,東宝,山本周五郎賞を受賞した伊坂幸太郎の逃亡劇を、「アヒルと鴨のコインロッカー」「フィッシュストーリー」でも伊坂作品の監督を務めた中村義洋が映画化。主演に堺雅人、共演に竹内結子、吉岡秀隆、香川照之、大森南朋、柄本明ほか。野党初となる首相の凱旋パレードが行われている仙台で、ラジコンヘリ爆弾を使った首相暗殺事件が起きる。時を同じくして、久々に旧友・森田と再会を果たしていた青柳は、突然現れた警官から発砲され、追われる身となってしまう。,中村義洋,伊坂幸太郎,"堺雅人, 竹内結子, 吉岡秀隆, 劇団ひとり, 香川照之, 柄本明, 濱田岳, 渋川清彦, ベンガル, 大森南朋, 貫地谷しほり, 相武紗季, 伊東四朗, 永島敏行, 石丸謙二郎, ソニン, でんでん, 滝藤賢一, 木下隆行, 木内みどり, 竜雷太, 鈴木福",中村義洋,宇田川寧,(C)2010「ゴールデンスランバー」製作委員会,,1,1
サヨナライツカ,53703,2010,2010/1/23,12,洋画,アスミック,辻仁成のベストセラー恋愛小説を、辻の妻・中山美穂を主演に映画化。中山の主演は「東京日和」（97）以来12年ぶりとなる。監督は「私の頭の中の消しゴム」のイ・ジェハン。1975年のバンコク、ひとり自由気ままに暮らす沓子（中山）は、日本から赴任してきたエリートビジネスマンの豊（西島秀俊）に出会う。激しく惹かれ合う2人だったが、豊には日本で彼の帰りを待つ婚約者がいた。,イ・ジェハン,辻仁成,"中山美穂, 西島秀俊, 石田ゆり子, 加藤雅也, マギー, スパコン・ギッスワーン, 川島なお美, 松原智恵子, 須永慶, 日高光啓, 西島隆弘",イ・ジェハン,,(C)2009 CJ Entertainment Inc. All Rights Reserved.,,1,1
オーシャンズ,54165,2010,2010/1/22,25,洋画,GAGA,「WATARIDORI」でさまざまな渡り鳥の生態を記録したジャック・ペランが、世界中の海とそこに暮らす生命体を革新的な映像美で描く海洋ドキュメンタリー。日本版ナレーションを宮沢りえが担当する。ハンドウイルカの大群、ザドウクジラの捕食、5万匹に及ぶクモガニの交尾、ウミガメの孵化など、自然界で起きる奇跡的なシーンを多数収録。,"ジャック・ペラン, ジャック・クルーゾー",,"ジャック・ペラン, ランスロ・ペラン",ジャック・ペラン,,(C) Galatee Films - Pathe Production - France 2 Cinema - France 3 Cinema - Notro Films - Les Productions JMH - TSR　(C)Pascal Kobeh,,1,1
アバター,53184,2010,2009/12/23,156,洋画,FOX,"巨匠ジェームズ・キャメロンが「タイタニック」（97）以来12年ぶりに放つ、デジタル3DによるSF超大作。地球から遠く離れた神秘の惑星を舞台に、自らの分身となる“アバター”を操り、星の先住民ナヴィ族と交流する主人公が、人類とナヴィとの戦争に巻き込まれていく姿を壮大なスケールで描く。

22世紀、人類は希少鉱物を求めて地球から遠く離れた神秘の星パンドラで「アバター・プロジェクト」に着手。「ナヴィ」と呼ばれるパンドラの種族と人間のDNAを組み合わせた肉体＝「アバター」を操ることで、人体に有毒な大気の問題をクリアし、鉱物を採掘することが可能になった。この計画に参加した元兵士ジェイクは車椅子の身だったが、アバターを通して自由に動き回ることができるようになった。パンドラの地で、ナヴィの族長の娘ネイティリと恋に落ちたジェイクは、パンドラの生命を脅かす自身の任務に次第に疑問を抱くようになり、星の運命を決する選択を迫られていく。

主人公ジェイクに「ターミネーター4」のサム・ワーシントン。共演にゾーイ・サルダナ、シガニー・ウィーバーほか。",ジェームズ・キャメロン,,"サム・ワーシントン, ゾーイ・サルダナ, シガニー・ウィーバー, スティーブン・ラング, ミシェル・ロドリゲス, ジョバンニ・リビシ, ジョエル・デビッド・ムーア, CCH・パウンダー, ウェス・スチュディ, ラズ・アロンソ, ディリープ・ラオ",ジェームズ・キャメロン,,(C)2009 Twentieth Century Fox. All rights reserved.,,1,1
のだめカンタービレ 最終楽章 前編,54302,2010,2009/12/19,41,邦画,東宝,エリート音大生の恋愛をコミカルに描いた二ノ宮知子の人気コミックをTVドラマ化した「のだめカンタービレ」の劇場版2部作の前編。主演に玉木宏と上野樹里、共演に瑛太、水川あさみ、小出恵介ら若手人気俳優が揃う。プラティニ国際音楽コンクールで優勝した千秋（玉木）は、「ルー・マルレ・オーケストラ」の常任指揮者を務めることになる。しかし、非協力的でやる気の感じられないオーケストラに失望した千秋は、野田恵ことのだめ（上野）に定期公演の「ボレロ」のチェレスタの演奏を依頼するが……。,武内英樹,二ノ宮知子,"上野樹里, 玉木宏, 瑛太, 水川あさみ, 小出恵介, ウエンツ瑛士, ベッキー, 山口紗弥加, 山田優, 谷原章介, なだぎ武, 福士誠治, 吉瀬美智子, 伊武雅刀, 竹中直人",衛藤凛,前田久閑,(C)2009 フジテレビ・講談社・アミューズ・東宝・FNS27社,,1,1
映画版 ヤッターマン,53119,2009,2009/12/12,15.5,洋画,松竹、日活,1970年代のタツノコプロ製作の同名人気アニメを、「クローズZERO」「スキヤキ・ウエスタン　ジャンゴ」の三池崇史監督が実写映画化。タイトルロールのヤッターマン1号に櫻井翔、2号に福田沙紀。ライバルのドロンジョに深田恭子。4つ揃うとなんでも願いが叶うというドクロストーンめぐる、ヤッターマンとドロンジョ率いるドロンボー一味との戦いを描く。,三池崇史,竜の子プロダクション,"櫻井翔, 福田沙紀, 深田恭子, 生瀬勝久, ケンドーコバヤシ, 岡本杏理, 阿部サダヲ, 滝口順平, 山寺宏一, たかはし智秋",十川誠志,千葉善紀,(C)タツノコプロ／ヤッターマン製作委員会,,1,1
ワンピース フィルム ストロングワールド,54334,2010,2009/12/12,48,邦画,東映,大人気少年コミック「ONE PIECE」の原作者・尾田栄一郎が初めて劇場用にストーリーを書き下ろした劇場版のシリーズ10作目。伝説の海賊王ゴールド・ロジャーが遺した「ひとつなぎの大秘宝（ワンピース）」をめぐり海賊が壮絶な戦いを繰り広げていた大海賊時代。体がゴムのように伸びる海賊・ルフィとその仲間たちは「偉大なる航路（グランドライン）」をサウザンド・サニー号で突き進んでいたが、世界最強の男で悪魔の実（み）の能力者「金獅子のシキ」がルフィ海賊団の前に立ちはだかる。,境宗久,尾田栄一郎,"田中真弓, 中井和哉, 岡村明美, 山口勝平, 平田広明, 大谷育江, 山口由里子, 矢尾一樹, チョー, 竹中直人, 北島康介, 皆藤愛子",上坂浩彦,,(C)尾田栄一郎／集英社・フジテレビ・東映アニメーション (C)「2009 ワンピース」製作委員会,,1,1
仮面ライダー×仮面ライダー W&ディケイド MOVIE大戦2010,55023,2010,2009/12/12,15.4,邦画,東映,世界の破壊者となってしまった士（つかさ）こと「仮面ライダーディケイド」は、次々と歴代仮面ライダーたちを倒していく。一方、「仮面ライダーW」である翔太郎とフィリップが営む鳴海探偵事務所に、幽霊を捜してほしいという不思議な調査依頼が舞い込んでくる。調査を始めた2人の前に、この世を去ったはずの探偵の師匠・鳴海荘吉が突然現れ、「仮面ライダーW」の誕生の秘密が徐々に明かにされていく。,田崎竜太,石ノ森章太郎,"桐山漣, 菅田将暉, 山本ひかる, なだぎ武, 渋谷飛鳥, 手塚とおる, 寺田農, 吉川晃司, 井上正大, 戸谷公人, 村井良大, 森カンナ, 広瀬アリス, 及川奈央, 瀬戸康史, 石橋蓮司, 生井亜実, 飛鳥凛, 君沢ユウキ, なすび, 腹筋善之介, 板野友美, 河西智美",三条陸,,(C)劇場版「W＆ディケイド」製作委員会(C)石森プロ・テレビ朝日・ADK・東映,,1,1
カールじいさんの空飛ぶ家,53508,2009,2009/12/5,50,洋画,ディズニー,"「トイ・ストーリー」「モンスターズ・インク」「ファインディング・ニモ」などで高い人気と評価を獲得しているピクサー・アニメーション・スタジオの長編10作目。亡き妻との約束を果たすため、大量の風船で家ごと大空へと飛び出した老人が繰り広げる冒険を描く。

亡き妻エリーとの思い出が詰まった家にひとり静かに暮らしている78歳のカールじいさん。エリーの生前、幼なじみだった2人は世界中を飛び回る冒険家チャールズ・マンツにあこがれ、いつか南米の秘境「パラダイスの滝」に行こうという約束をしていた。そして、周囲の再開発で静かな生活が失われそうになったある日、カールはエリーとの約束を果たそうと、パラダイスの滝を目指して人生最後の大冒険に出ることを決意。家に大量の風船をつけて大空へと飛び立つ。

監督は「モンスターズ・インク」を手がけたピート・ドクター。第82回アカデミー賞では長編アニメーション賞と作曲賞の2部門を受賞。また、1991年の「美女と野獣」以来史上2例目となる、アニメーション作品での作品賞ノミネートも果たした。",ピート・ドクター,"ピート・ドクター, ボブ・ピーターソン, トム・マッカーシー","エドワード・アズナー, クリストファー・プラマー, ジョーダン・ナガイ, ボブ・ピーターソン, デルロイ・リンドー, ジェローム・ランフト, ジョン・ラッツェンバーガー, デビッド・ケイ, エリー・ドクター, ジェレミー・レアリー, ミッキー・T・マッゴーワン, ダニー・マン, ドン・フュリラブ, ジョシュ・クーリー, ピート・ドクター, 飯塚昭三, 立川大樹, 松本保典, 大塚芳忠, 檀臣幸, 高木渉, 楠見尚己, 松元環季, 吉永拓斗, 大木民夫",ボブ・ピーターソン,,(C)WALT DISNEY PICTURES/PIXAR ANIMATION STUDIOS. ALL RIGHTS RESERVED.,,1,1
2012,53616,2009,2009/11/20,38,洋画,ソニー,「インデペンデンス・デイ」「デイ・アフター・トゥモロー」のローランド・エメリッヒ監督が手がけるディザスター・ムービー。古代マヤ文明の暦が終わる2012年12月21日に地球が滅亡するという予言を題材に、世界中で地震や津波などの大災害が起こる中、必死に生き延びようとする人々を描く。ジョン・キューザックが家族を守ろうと奮闘する主人公に扮し、キウェテル・イジョフォー、ダニー・グローバー、ウッディ・ハレルソンらが脇を固める。,ローランド・エメリッヒ,,"ジョン・キューザック, キウェテル・イジョフォー, アマンダ・ピート, オリバー・プラット, タンディ・ニュートン, ダニー・グローバー, ウッディ・ハレルソン, トム・マッカーシー, リーアム・ジェームス, モーガン・リリー, ズラッコ・ブリッチ, ベアトリス・ローゼン, ヨハン・アーブ, ジョン・ビリングスレイ, チン・ハン, オスリック・チョウ, ブル・マンクマ, ジョージ・シーガル, スティーブン・マクハッティ",ローランド・エメリッヒ,,(C) 2009 Sony Pictures Digital Inc. All Rights Reserved.,,1,1
なくもんか,54314,2009,2009/11/14,13.5,邦画,東宝,幼い頃父親に捨てられた祐太は、東京下町・善人通りの惣菜屋「デリカの山ちゃん」の店主夫婦に養子として育てられ、今では2代目店主となって商店街を盛り上げていた。そして密かに思いを寄せていた初代店主夫婦のひとり娘・徹子と結婚にこぎつけた祐太は、生き別れた弟で人気お笑い芸人「金城ブラザーズ」の祐介の存在を知り、再会を果たすが……。「舞妓Haaaan!!!」の水田尾伸生監督・脚本の宮藤官九郎、主演の阿部サダヲが再結集。,水田伸生,,"阿部サダヲ, 瑛太, 竹内結子, 塚本高史, 皆川猿時, 片桐はいり, 鈴木砂羽, カンニング竹山, 高橋ジョージ, 陣内孝則, 藤村俊二, 小倉一郎, 光石研, 伊原剛志, いしだあゆみ",宮藤官九郎,飯沼伸之,(C)2009「なくもんか」製作委員会,,1,1
Disney's クリスマス・キャロル,54447,2009,2009/11/14,12.5,洋画,ディズニー,町の嫌われ者スクルージは、金が全てと考える天涯孤独の男。あるクリスマス・イブの夜、かつてのビジネス・パートナーの亡霊が現れ、その翌日から「過去の亡霊」「現在の亡霊」「未来の亡霊」が一夜ずつスクルージを時間の旅へと連れ出す。ジム・キャリー、ゲイリー・オールドマン、コリン・ファースらが声優＆パフォーマンス・キャプチャーを担当。監督はロバート・ゼメキス。,ロバート・ゼメキス,チャールズ・ディケンズ,"ジム・キャリー, ゲイリー・オールドマン, コリン・ファース, ボブ・ホスキンス, ロビン・ライト・ペン, ケイリー・エルウィズ, レスリー・マンビル, モリー・C・クイン",ロバート・ゼメキス,,"(C)Disney Enterprises, Inc. All rights reserved..",,1,1
ゼロの焦点,54313,2009,2009/11/14,10.1,邦画,東宝,松本清張の長編推理小説を「ジョゼと虎と魚たち」の犬童一心が映画化。主演に広末涼子、中谷美紀、木村多江。結婚式の7日後に消息不明となった夫・憲一の足跡を追って北陸・金沢を訪れた禎子は、そこで憲一の得意先だった社長夫人の佐知子、受付嬢の久子に出会う。一方、憲一に関わりのある人物が被害者となる殺人事件が相次いで起こり始める。,犬童一心,松本清張,"広末涼子, 中谷美紀, 木村多江, 杉本哲太, 崎本大海, 野間口徹, 黒田福美, 本田博太郎, 西島秀俊, 鹿賀丈史",犬童一心,,(C)2009 「ゼロの焦点」製作委員会,,1,1
沈まぬ太陽,54297,2009,2009/10/24,28,邦画,東宝,累計700万部を超える山崎豊子のベストセラー小説を渡辺謙主演で映画化。監督は「ホワイトアウト」の若松節朗。巨大企業・国民航空の労働組合委員長を務める恩地は、職場環境の改善を目指し会社側と戦うが、懲罰人事で海外赴任を命じられてしまう。パキスタン、イラン、ケニアと次々と転勤を強いられた恩地は、10年後に本社復帰を果たすが、帰国後間もなく自社のジャンボ機が御巣鷹山に墜落するという事件に直面する。,若松節朗,山崎豊子,"渡辺謙, 三浦友和, 松雪泰子, 鈴木京香, 石坂浩二, 香川照之, 木村多江, 清水美沙, 鶴田真由, 柏原崇, 戸田恵梨香, 大杉漣, 西村雅彦, 柴俊夫, 風間トオル, 山田辰夫, 菅田俊, 神山繁, 草笛光子, 小野武彦, 矢島健一, 品川徹, 田中健, 松下奈緒, 宇津井健, 小林稔侍, 加藤剛",西岡琢也,岡田和則,(C)2009「沈まぬ太陽」製作委員会,,1,1
